nome;descricao;categoria
IN_ENERGIA_OUTROS;Abastecimento de energia elétrica - Outros (Energia alternativa);"0 - Não
1 - Sim"
IN_ENERGIA_RENOVAVEL;Abastecimento de energia elétrica - Fontes de energia renováveis ou alternativas (gerador a biocombustível e/ou biodigestores, eólica, solar, outras);"0 - Não
1 - Sim"
IN_ENERGIA_INEXISTENTE;Abastecimento de energia elétrica - Não há energia elétrica;"0 - Não
1 - Sim"
IN_ESGOTO_REDE_PUBLICA;Esgoto sanitário - Rede pública;"0 - Não
1 - Sim"
IN_ESGOTO_FOSSA_SEPTICA;Esgoto sanitário - Fossa Séptica;"0 - Não
1 - Sim"
IN_ESGOTO_FOSSA_COMUM;Esgoto sanitário - Fossa rudimentar/comum;"0 - Não
1 - Sim"
IN_ESGOTO_FOSSA;Esgoto sanitário - Fossa;"0 - Não
1 - Sim"
IN_ESGOTO_INEXISTENTE;Esgoto sanitário - Não há esgotamento sanitário;"0 - Não
1 - Sim"
IN_LIXO_SERVICO_COLETA;Destinação do lixo - Serviço de coleta;"0 - Não
1 - Sim"
IN_LIXO_QUEIMA;Destinação do lixo - Queima;"0 - Não
1 - Sim"
IN_LIXO_ENTERRA;Destinação do lixo - Enterra;"0 - Não
1 - Sim"
IN_LIXO_DESTINO_FINAL_PUBLICO;Destinação do lixo - Leva a uma destinação final financiada pelo poder público;"0 - Não
1 - Sim"
IN_LIXO_DESCARTA_OUTRA_AREA;Destinação do lixo - Descarta em outra área;"0 - Não
1 - Sim"
IN_LIXO_JOGA_OUTRA_AREA;Destinação do lixo - Joga em outra área;"0 - Não
1 - Sim"
IN_LIXO_OUTROS;Destinação do lixo - Outros;"0 - Não
1 - Sim"
IN_LIXO_RECICLA;Tratamento do lixo/resíduos que a escola realiza - Reciclagem;"0 - Não
1 - Sim"
IN_TRATAMENTO_LIXO_SEPARACAO;Tratamento do lixo/resíduos que a escola realiza - Separação do lixo/resíduos;"0 - Não
1 - Sim
9 - Não informado"
IN_TRATAMENTO_LIXO_REUTILIZA;Tratamento do lixo/resíduos que a escola realiza - Reaproveitamento/reutilização;"0 - Não
1 - Sim
9 - Não informado"
IN_TRATAMENTO_LIXO_RECICLAGEM;Tratamento do lixo/resíduos que a escola realiza - Reciclagem;"0 - Não
1 - Sim
9 - Não informado"
IN_TRATAMENTO_LIXO_INEXISTENTE;Tratamento do lixo/resíduos que a escola realiza - Não faz tratamento;"0 - Não
1 - Sim
9 - Não informado"
IN_ALMOXARIFADO;Dependências físicas existentes e utilizadas na escola - Almoxarifado;"0 - Não
1 - Sim"
IN_AREA_VERDE;Dependências físicas existentes e utilizadas na escola - Área Verde;"0 - Não
1 - Sim"
IN_AUDITORIO;Dependências físicas existentes e utilizadas na escola - Auditório;"0 - Não
1 - Sim"
IN_BANHEIRO_FORA_PREDIO;Dependências físicas existentes e utilizadas na escola - Banheiro fora do prédio;"0 - Não
1 - Sim"
IN_BANHEIRO_DENTRO_PREDIO;Dependências físicas existentes e utilizadas na escola - Banheiro dentro do prédio;"0 - Não
1 - Sim"
IN_BANHEIRO;Dependências físicas existentes e utilizadas na escola - Banheiro;"0 - Não
1 - Sim"
IN_BANHEIRO_EI;Dependências físicas existentes e utilizadas na escola - Banheiro adequado à educação infantil;"0 - Não
1 - Sim"
IN_BANHEIRO_PNE;Dependências físicas existentes e utilizadas na escola - Banheiro acessível, adequado ao uso de pessoas com deficiência ou mobilidade reduzida;"0 - Não
1 - Sim"
IN_BANHEIRO_FUNCIONARIOS;Dependências físicas existentes e utilizadas na escola - Banheiro exclusivo para os funcionários;"0 - Não
1 - Sim"
IN_BANHEIRO_CHUVEIRO;Dependências físicas existentes e utilizadas na escola - Banheiro ou vestiário com chuveiro;"0 - Não
1 - Sim"
IN_BERCARIO;Dependências físicas existentes e utilizadas na escola - Berçário;"0 - Não
1 - Sim"
IN_BIBLIOTECA;Dependências físicas existentes e utilizadas na escola - Biblioteca;"0 - Não
1 - Sim"
IN_BIBLIOTECA_SALA_LEITURA;Dependências físicas existentes e utilizadas na escola - Biblioteca e/ou Sala de leitura;"0 - Não
1 - Sim"
IN_COZINHA;Dependências físicas existentes e utilizadas na escola - Cozinha;"0 - Não
1 - Sim"
IN_DESPENSA;Dependências físicas existentes e utilizadas na escola - Despensa;"0 - Não
1 - Sim"
IN_DORMITORIO_ALUNO;Dependências físicas existentes e utilizadas na escola - Dormitório de Aluno (a);"0 - Não
1 - Sim"
IN_DORMITORIO_PROFESSOR;Dependências físicas existentes e utilizadas na escola - Dormitório de professor (a);"0 - Não
1 - Sim"
IN_LABORATORIO_CIENCIAS;Dependências físicas existentes e utilizadas na escola - Laboratório de ciências;"0 - Não
1 - Sim"
IN_LABORATORIO_INFORMATICA;Dependências físicas existentes e utilizadas na escola - Laboratório de informática;"0 - Não
1 - Sim"
IN_PATIO_COBERTO;Dependências físicas existentes e utilizadas na escola - Pátio Coberto;"0 - Não
1 - Sim"
IN_PATIO_DESCOBERTO;Dependências físicas existentes e utilizadas na escola - Pátio Descoberto;"0 - Não
1 - Sim"
IN_PARQUE_INFANTIL;Dependências físicas existentes e utilizadas na escola - Parque infantil;"0 - Não
1 - Sim"
IN_PISCINA;Dependências físicas existentes e utilizadas na escola - Piscina;"0 - Não
1 - Sim"
IN_QUADRA_ESPORTES;Dependências físicas existentes e utilizadas na escola - Quadra de esportes coberta ou descoberta;"0 - Não
1 - Sim"
IN_QUADRA_ESPORTES_COBERTA;Dependências físicas existentes e utilizadas na escola - Quadra de esportes Coberta;"0 - Não
1 - Sim"
IN_QUADRA_ESPORTES_DESCOBERTA;Dependências físicas existentes e utilizadas na escola - Quadra de esportes Descoberta;"0 - Não
1 - Sim"
IN_REFEITORIO;Dependências físicas existentes e utilizadas na escola - Refeitório;"0 - Não
1 - Sim"
IN_SALA_ATELIE_ARTES;Dependências físicas existentes e utilizadas na escola - Sala/ateliê de artes;"0 - Não
1 - Sim"
IN_SALA_MUSICA_CORAL;Dependências físicas existentes e utilizadas na escola - Sala de música/coral;"0 - Não
1 - Sim"
IN_SALA_ESTUDIO_DANCA;Dependências físicas existentes e utilizadas na escola - Sala/estúdio de dança;"0 - Não
1 - Sim"
IN_SALA_MULTIUSO;Dependências físicas existentes e utilizadas na escola - Sala multiuso (música, dança e artes);"0 - Não
1 - Sim"
IN_SALA_DIRETORIA;Dependências físicas existentes e utilizadas na escola - Sala de Diretoria;"0 - Não
1 - Sim"
IN_SALA_LEITURA;Dependências físicas existentes e utilizadas na escola - Sala de Leitura;"0 - Não
1 - Sim"
IN_SALA_PROFESSOR;Dependências físicas existentes e utilizadas na escola - Sala de professores;"0 - Não
1 - Sim"
IN_SALA_REPOUSO_ALUNO;Dependências físicas existentes e utilizadas na escola - Sala de respouso para aluno(a);"0 - Não
1 - Sim"
IN_SECRETARIA;Dependências físicas existentes e utilizadas na escola - Sala de secretaria;"0 - Não
1 - Sim"
IN_SALA_ATENDIMENTO_ESPECIAL;Dependências físicas existentes e utilizadas na escola - Sala de recursos Multifuncionais para Atendimento Educacional Especializado (AEE);"0 - Não
1 - Sim"
IN_TERREIRAO;Dependências físicas existentes e utilizadas na escola - Terreirão (área para prática desportiva e recreação sem cobertura, sem piso e sem edificações);"0 - Não
1 - Sim"
IN_VIVEIRO;Dependências físicas existentes e utilizadas na escola - Viveiro/criação de animais;"0 - Não
1 - Sim"
IN_DEPENDENCIAS_PNE;Dependências físicas existentes e utilizadas na escola - Dependências e vias adequadas a alunos com deficiência ou mobilidade reduzida;"0 - Não
1 - Sim"
IN_LAVANDERIA;Dependências físicas existentes e utilizadas na escola - Lavanderia;"0 - Não
1 - Sim"
IN_DEPENDENCIAS_OUTRAS;Dependências existentes na escola - Nenhuma das dependência relacionadas;"0 - Não
1 - Sim"
IN_ACESSIBILIDADE_CORRIMAO;Recursos de acessibilidade para pessoas com deficiência ou mobilidade reduzida nas vias de circulação interna na escola - Corrimão e guarda corpos;"0 - Não
1 - Sim"
IN_ACESSIBILIDADE_ELEVADOR;Recursos de acessibilidade para pessoas com deficiência ou mobilidade reduzida nas vias de circulação interna na escola - Elevador;"0 - Não
1 - Sim"
IN_ACESSIBILIDADE_PISOS_TATEIS;Recursos de acessibilidade para pessoas com deficiência ou mobilidade reduzida nas vias de circulação interna na escola - Pisos táteis;"0 - Não
1 - Sim"
IN_ACESSIBILIDADE_VAO_LIVRE;Recursos de acessibilidade para pessoas com deficiência ou mobilidade reduzida nas vias de circulação interna na escola - Portas com vão livre de no mínimo 80 cm;"0 - Não
1 - Sim"
IN_ACESSIBILIDADE_RAMPAS;Recursos de acessibilidade para pessoas com deficiência ou mobilidade reduzida nas vias de circulação interna na escola - Rampas;"0 - Não
1 - Sim"
IN_ACESSIBILIDADE_SINAL_SONORO;Recursos de acessibilidade para pessoas com deficiência ou mobilidade reduzida nas vias de circulação interna na escola - Sinalização sonora;"0 - Não
1 - Sim"
IN_ACESSIBILIDADE_SINAL_TATIL;Recursos de acessibilidade para pessoas com deficiência ou mobilidade reduzida nas vias de circulação interna na escola - Sinalização tátil (piso/paredes);"0 - Não
1 - Sim"
IN_ACESSIBILIDADE_SINAL_VISUAL;Recursos de acessibilidade para pessoas com deficiência ou mobilidade reduzida nas vias de circulação interna na escola - Sinalização visual (piso/paredes);"0 - Não
1 - Sim"
IN_ACESSIBILIDADE_INEXISTENTE;Recursos de acessibilidade para pessoas com deficiência ou mobilidade reduzida nas vias de circulação interna na escola - Nenhum dos recursos de acessibilidade listado;"0 - Não
1 - Sim"
QT_SALAS_EXISTENTES;Número de salas de aula existentes na escola;NA
QT_SALAS_UTILIZADAS_DENTRO;Número de salas de aula utilizadas na escola - Dentro do prédio;NA
QT_SALAS_UTILIZADAS_FORA;Número de salas de aula utilizadas na escola - Fora do prédio;NA
QT_SALAS_UTILIZADAS;Número de salas de aula utilizadas na escola (dentro e fora do prédio);NA
QT_SALAS_UTILIZA_CLIMATIZADAS;Condições das salas de aula utilizadas na escola (dentro e fora do prédio escolar) - Número de salas de aula climatizadas;NA
QT_SALAS_UTILIZADAS_ACESSIVEIS;Condições das salas de aula utilizadas na escola (dentro e fora do prédio escolar) - Número de salas de aula com acessibilidade para pessoas com deficiência ou mobilidade reduzida.;NA
IN_EQUIP_PARABOLICA;Equipamentos existentes na escola - Antena parabólica;"0 - Não
1 - Sim"
IN_COMPUTADOR;Equipamentos existentes na escola - Computador;"0 - Não
1 - Sim"
IN_EQUIP_COPIADORA;Equipamentos existentes na escola - Copiadora;"0 - Não
1 - Sim"
IN_EQUIP_IMPRESSORA;Equipamentos existentes na escola - Impressora;"0 - Não
1 - Sim"
IN_EQUIP_IMPRESSORA_MULT;Equipamentos existentes na escola - Impressora Multifuncional;"0 - Não
1 - Sim"
IN_EQUIP_SCANNER;Equipamentos existentes na escola - Scanner;"0 - Não
1 - Sim"
IN_EQUIP_DVD;Equipamentos existentes na escola para o processo ensino aprendizagem - DVD/Blu-ray;"0 - Não
1 - Sim"
QT_EQUIP_DVD;Quantidade de Aparelhos de DVD/Blue-ray;88888 - registro com marcação de valor extremo (valor superior ao limite máximo de 4 equipamentos para cada 3 salas existentes - foram marcados apenas valores>3)
IN_EQUIP_SOM;Equipamentos existentes na escola para o processo ensino aprendizagem - Aparelho de som;"0 - Não
1 - Sim"
QT_EQUIP_SOM;Quantidade de Aparelhos de som;88888 - registro com marcação de valor extremo (valor superior ao limite máximo de 4 equipamentos para cada 3 salas existentes - foram marcados apenas valores>3)
IN_EQUIP_TV;Equipamentos existentes na escola para o processo ensino aprendizagem - Aparelho de televisão;"0 - Não
1 - Sim"
QT_EQUIP_TV;Quantidade de Aparelhos de televisão;88888 - registro com marcação de valor extremo (valor superior ao limite máximo de 4 equipamentos para cada 3 salas existentes - foram marcados apenas valores>3)
IN_EQUIP_LOUSA_DIGITAL;Equipamentos existentes na escola para o processo ensino aprendizagem - Lousa digital;"0 - Não
1 - Sim"
QT_EQUIP_LOUSA_DIGITAL;Quantidade de Lousas digitais;88888 - registro com marcação de valor extremo (valor superior ao limite máximo de 4 equipamentos para cada 3 salas existentes - foram marcados apenas valores>3)
IN_EQUIP_MULTIMIDIA;Equipamentos existentes na escola para o processo ensino aprendizagem - Projetor Multimídia (Datashow);"0 - Não
1 - Sim"
QT_EQUIP_MULTIMIDIA;Quantidade de Projetores Multimídias (Datashow);88888 - registro com marcação de valor extremo (valor superior ao limite máximo de 4 equipamentos para cada 3 salas existentes - foram marcados apenas valores>3)
IN_EQUIP_VIDEOCASSETE;Equipamentos existentes na escola - Videocassete;"0 - Não
1 - Sim"
IN_EQUIP_RETROPROJETOR;Equipamentos existentes na escola - Retroprojetor;"0 - Não
1 - Sim"
IN_EQUIP_FAX;Equipamentos existentes na escola - Fax;"0 - Não
1 - Sim"
IN_EQUIP_FOTO;Equipamentos existentes na escola - Máquina fotográfica/Filmadora;"0 - Não
1 - Sim"
QT_EQUIP_VIDEOCASSETE;Quantidade de Videocassetes;NA
QT_EQUIP_PARABOLICA;Quantidade de Antenas parabólicas;NA
QT_EQUIP_COPIADORA;Quantidade de Copiadoras;NA
QT_EQUIP_RETROPROJETOR;Quantidade de Retroprojetores;NA
QT_EQUIP_IMPRESSORA;Quantidade de Impressoras;NA
QT_EQUIP_IMPRESSORA_MULT;Quantidade de Impressoras Multifuncionais;NA
QT_EQUIP_FAX;Quantidade de Fax;NA
QT_EQUIP_FOTO;Quantidade de Máquinas Fotográficas/ Filmadoras;NA
QT_COMP_ALUNO;Quantidade de computadores em uso pelos alunos;- Não aplicável para escolas que não possuem computador
IN_DESKTOP_ALUNO;Computadores em uso pelos alunos (as) - Computador de mesa (desktop);"0 - Não
1 - Sim"
QT_DESKTOP_ALUNO;Quantidade de computadores em uso pelos alunos (as) - Computador de mesa (desktop);88888 - registro com marcação de valor extremo (valor superior ao limite máximo de 4 equipamentos para cada 3 matrículas - foram marcados apenas valores>3)
IN_COMP_PORTATIL_ALUNO;Computadores em uso pelos alunos (as) - Computador portátil;"0 - Não
1 - Sim"
QT_COMP_PORTATIL_ALUNO;Quantidade de computadores em uso pelos alunos (as) - Computador portátil;88888 - registro com marcação de valor extremo (valor superior ao limite máximo de 4 equipamentos para cada 3 matrículas - foram marcados apenas valores>3)
IN_TABLET_ALUNO;Computadores em uso pelos alunos (as) - Tablet;"0 - Não
1 - Sim"
QT_TABLET_ALUNO;Quantidade de computadores em uso pelos alunos (as) - Tablet;88888 - registro com marcação de valor extremo (valor superior ao limite máximo de 4 equipamentos para cada 3 matrículas - foram marcados apenas valores>3)
QT_COMPUTADOR;Quantidade de computadores na escola;NA
QT_COMP_ADMINISTRATIVO;Quantidade de computadores de uso administrativo;NA
IN_INTERNET;Acesso à Internet;"0 - Não possui
1 - Sim"
IN_INTERNET_ALUNOS;Acesso à Internet - Para uso dos alunos;"0 - Não
1 - Sim"
IN_INTERNET_ADMINISTRATIVO;Acesso à Internet - Para uso administrativo;"0 - Não
1 - Sim"
IN_INTERNET_APRENDIZAGEM;Acesso à Internet - Para uso nos processos de ensino e aprendizagem;"0 - Não
1 - Sim"
IN_INTERNET_COMUNIDADE;Acesso à Internet - Para uso da comunidade;"0 - Não
1 - Sim"
IN_ACESSO_INTERNET_COMPUTADOR;Equipamentos que os alunos usam para acessar a internet da escola - Computadores de mesa, portáteis e tablets da escola (no laboratório de informática, biblioteca, sala de aula, etc.);"0 - Não
1 - Sim
9 - Não informado"
IN_ACES_INTERNET_DISP_PESSOAIS;Equipamentos que os alunos usam para acessar a internet da escola - Dispositivos pessoais (computadores portáteis, celulares, tablets, etc.);"0 - Não
1 - Sim
9 - Não informado"
TP_REDE_LOCAL;Rede local de interligação de computadores;"0 - Não há rede local interligando computadores
1 - A cabo
2 - Wireless
3 - A cabo e Wireless
9 - Não informado"
IN_BANDA_LARGA;Internet Banda Larga;"0 - Não possui
1 - Sim
   - Não aplicável para escolas sem internet"
QT_FUNCIONARIOS;Total de funcionários da escola (inclusive profissionais escolares em sala de aula);NA
QT_PROF_ADMINISTRATIVOS;Total de profissionais que atuam na escola - Auxiliares de secretaria ou auxiliares administrativos, atendentes;88888 - registro com marcação de valor extremo (valor superior ao limite máximo definido pelo percentil 99* da razão de profissionais por matrícula em 2019).
QT_PROF_SERVICOS_GERAIS;Total de profissionais que atuam na escola - Auxiliar de serviços gerais, porteiro(a), zelador(a), faxineiro(a), horticultor(a), jardineiro(a);88888 - registro com marcação de valor extremo (valor superior ao limite máximo definido pelo percentil 99* da razão de profissionais por matrícula em 2019).
QT_PROF_BIBLIOTECARIO;Total de profissionais que atuam na escola - Bibliotecário(a), auxiliar de biblioteca ou monitor(a) da sala de leitura;88888 - registro com marcação de valor extremo (valor superior ao limite máximo definido pelo percentil 99* da razão de profissionais por matrícula em 2019).
QT_PROF_SAUDE;Total de profissionais que atuam na escola - Bombeiro(a) brigadista, profissionais de assistência a saúde (urgência e emergência), Enfermeiro(a), Técnico(a) de enfermagem e socorrista;88888 - registro com marcação de valor extremo (valor superior ao limite máximo definido pelo percentil 99* da razão de profissionais por matrícula em 2019).
QT_PROF_COORDENADOR;Total de profissionais que atuam na escola - Coordenador(a) de turno/disciplina;88888 - registro com marcação de valor extremo (valor superior ao limite máximo definido pelo percentil 99* da razão de profissionais por matrícula em 2019).
QT_PROF_FONAUDIOLOGO;Total de profissionais que atuam na escola - Fonoaudiólogo(a);88888 - registro com marcação de valor extremo (valor superior ao limite máximo definido pelo percentil 99* da razão de profissionais por matrícula em 2019).
QT_PROF_NUTRICIONISTA;Total de profissionais que atuam na escola - Nutricionista;88888 - registro com marcação de valor extremo (valor superior ao limite máximo definido pelo percentil 99* da razão de profissionais por matrícula em 2019).
QT_PROF_PSICOLOGO;Total de profissionais que atuam na escola - Psicólogo(a) Escolar;88888 - registro com marcação de valor extremo (valor superior ao limite máximo definido pelo percentil 99* da razão de profissionais por matrícula em 2019).
QT_PROF_ALIMENTACAO;Total de profissionais que atuam na escola - Profissionais de preparação e segurança alimentar, cozinheiro(a), merendeira e auxiliar de cozinha;88888 - registro com marcação de valor extremo (valor superior ao limite máximo definido pelo percentil 99* da razão de profissionais por matrícula em 2019).
QT_PROF_PEDAGOGIA;Total de profissionais que atuam na escola - Profissionais de apoio e supervisão pedagógica: pedagogo(a), coordenador(a) pedagógico(a), orientador(a) educacional, supervisor(a) escolar e coordenador(a) de área de ensino;88888 - registro com marcação de valor extremo (valor superior ao limite máximo definido pelo percentil 99* da razão de profissionais por matrícula em 2019).
QT_PROF_SECRETARIO;Total de profissionais que atuam na escola - Secretário(a) escolar;88888 - registro com marcação de valor extremo (valor superior ao limite máximo definido pelo percentil 99* da razão de profissionais por matrícula em 2019).
QT_PROF_SEGURANCA;Total de profissionais que atuam na escola - Seguranças, guarda ou segurança patrimonial;88888 - registro com marcação de valor extremo (valor superior ao limite máximo definido pelo percentil 99* da razão de profissionais por matrícula em 2019).
QT_PROF_MONITORES;Total de profissionais que atuam na escola - Técnicos(as), monitores(as) ou auxiliares de laboratório(s);88888 - registro com marcação de valor extremo (valor superior ao limite máximo definido pelo percentil 99* da razão de profissionais por matrícula em 2019).
IN_ALIMENTACAO;Alimentação escolar para os alunos - PNAE/FNDE;"0 - Não oferece
1 - Oferece"
IN_SERIE_ANO;Forma de organização do ensino - Série/Ano (séries anuais);"0 - Não
1 - Sim
   - Não aplicável para escolas sem matrículas de escolarização"
IN_PERIODOS_SEMESTRAIS;Forma de organização do ensino - Períodos semestrais;"0 - Não
1 - Sim
   - Não aplicável para escolas sem matrículas de escolarização"
IN_FUNDAMENTAL_CICLOS;Forma de organização do ensino - Ciclo(s) do Ensino Fundamental;"0 - Não
1 - Sim
   - Não aplicável para escolas sem matrículas de escolarização"
IN_GRUPOS_NAO_SERIADOS;Forma de organização do ensino - Grupos não-seriados com base na idade ou competência (art. 23 LDB);"0 - Não
1 - Sim
   - Não aplicável para escolas sem matrículas de escolarização"
IN_MODULOS;Forma de organização do ensino - Módulos;"0 - Não
1 - Sim
   - Não aplicável para escolas sem matrículas de escolarização"
